student_id,major,past_gpa,total_credits_completed,study_hours_per_week,course_id,course_difficulty,final_grade,passed
1001,ComputerScience,3.5,30,10,CS101,5,3.2,1
1002,ComputerScience,2.8,28,6,CS101,5,2.0,1
1003,Mathematics,3.1,40,8,CS101,5,1.7,0
1004,Mathematics,3.7,50,12,CS101,5,3.8,1
1005,Biology,2.5,25,5,BIOL201,7,2.0,1
1006,Biology,3.2,40,9,BIOL201,7,3.5,1
1007,Biology,3.0,35,7,BIOL201,7,1.8,0
1008,Mathematics,2.9,20,4,BIOL201,7,1.2,0
1009,History,3.0,45,6,HIST300,4,2.5,1
1010,History,3.8,60,10,HIST300,4,3.9,1
1011,History,2.2,15,3,HIST300,4,1.5,0
1012,English,3.4,50,8,ENG150,3,3.4,1
1013,English,3.6,60,10,ENG150,3,3.8,1
1014,English,2.0,20,4,ENG150,3,1.2,0
1015,Physics,2.8,30,5,PHYS101,8,2.3,1
1016,Physics,3.1,45,9,PHYS101,8,2.7,1
1017,Physics,3.9,70,15,PHYS101,8,3.9,1
1018,Mathematics,2.4,25,4,PHYS101,8,1.0,0
1019,Biology,3.0,45,8,CS101,5,2.7,1
1020,Biology,2.9,35,6,HIST300,4,2.0,1
